seed,model,instance,makespan,runtime
0,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.7997918128967285
1,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.1360330581665039
2,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.12802791595458984
3,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,107.0,0.13716626167297363
4,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.1324610710144043
5,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,107.0,0.14888715744018555
6,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,106.0,0.13405108451843262
7,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,114.0,0.13059473037719727
8,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,114.0,0.12712311744689941
9,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,0.1331009864807129
0,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,184.0,0.3051908016204834
1,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,174.0,0.30010080337524414
2,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,166.0,0.2985196113586426
3,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,166.0,0.2961108684539795
4,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,166.0,0.3271148204803467
5,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,171.0,0.33883094787597656
6,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,166.0,0.2983429431915283
7,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,168.0,0.3017420768737793
8,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,170.0,0.32441186904907227
9,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,165.0,0.29930806159973145
0,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,288.0,1.307476282119751
1,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,284.0,1.3430678844451904
2,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,297.0,1.2606017589569092
3,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,295.0,1.2916882038116455
4,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,290.0,1.266066074371338
5,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,289.0,1.2661490440368652
6,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,286.0,1.259119987487793
7,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,288.0,1.3125288486480713
8,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,295.0,1.2884302139282227
9,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,292.0,1.2453348636627197
0,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,283.0,1.2565228939056396
