run,model,instance,makespan,runtime,parameter_set,seed,jobs,machines,best_makespan,gap,category
0.0,FIFO_EET,Fattahi1.fjs,86.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.30303030303030304,small
1.0,FIFO_EET,Fattahi1.fjs,86.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.30303030303030304,small
2.0,FIFO_EET,Fattahi1.fjs,66.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.0,small
3.0,FIFO_EET,Fattahi1.fjs,86.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.30303030303030304,small
4.0,FIFO_EET,Fattahi1.fjs,66.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.0,small
5.0,FIFO_EET,Fattahi1.fjs,86.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.30303030303030304,small
6.0,FIFO_EET,Fattahi1.fjs,86.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.30303030303030304,small
7.0,FIFO_EET,Fattahi1.fjs,86.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.30303030303030304,small
8.0,FIFO_EET,Fattahi1.fjs,86.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.30303030303030304,small
9.0,FIFO_EET,Fattahi1.fjs,86.0,0.0006425142288208,FIFO_EET,,2,2,66.0,0.30303030303030304,small
0.0,FIFO_EET,Fattahi2.fjs,128.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.19626168224299065,small
1.0,FIFO_EET,Fattahi2.fjs,107.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.0,small
2.0,FIFO_EET,Fattahi2.fjs,107.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.0,small
3.0,FIFO_EET,Fattahi2.fjs,128.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.19626168224299065,small
4.0,FIFO_EET,Fattahi2.fjs,128.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.19626168224299065,small
5.0,FIFO_EET,Fattahi2.fjs,107.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.0,small
6.0,FIFO_EET,Fattahi2.fjs,128.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.19626168224299065,small
7.0,FIFO_EET,Fattahi2.fjs,128.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.19626168224299065,small
8.0,FIFO_EET,Fattahi2.fjs,107.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.0,small
9.0,FIFO_EET,Fattahi2.fjs,107.0,0.0006422996520996,FIFO_EET,,2,2,107.0,0.0,small
0.0,FIFO_SPT,Fattahi1.fjs,94.0,0.0007441997528076,FIFO_SPT,,2,2,66.0,0.42424242424242425,small
1.0,FIFO_SPT,Fattahi1.fjs,91.0,0.0007441997528076,FIFO_SPT,,2,2,66.0,0.3787878787878788,small
