seed,parameter_set,instance,makespan,runtime,model,jobs,machines,upper_bound,gap,category
0,EDD,ft06,83.0,0.010266436470879402,EDD,6,6,55,0.509090909090909,small
0,FIFO,ft06,62.0,0.00854387283325192,FIFO,6,6,55,0.12727272727272726,small
1,FIFO,ft06,59.0,0.0110020637512207,FIFO,6,6,55,0.07272727272727272,small
2,FIFO,ft06,63.0,0.008293867111206,FIFO,6,6,55,0.14545454545454545,small
3,FIFO,ft06,68.0,0.0097389221191406,FIFO,6,6,55,0.23636363636363636,small
5,FIFO,ft06,67.0,0.0110230445861816,FIFO,6,6,55,0.21818181818181817,small
0,LOR,ft06,72.0,0.007344245910644501,LOR,6,6,55,0.3090909090909091,small
1,LOR,ft06,67.0,0.0072460174560546,LOR,6,6,55,0.21818181818181817,small
2,LOR,ft06,81.0,0.0082349777221679,LOR,6,6,55,0.4727272727272727,small
4,LOR,ft06,87.0,0.0044429302215576,LOR,6,6,55,0.5818181818181818,small
5,LOR,ft06,79.0,0.0093770027160644,LOR,6,6,55,0.43636363636363634,small
0,LPT,ft06,67.0,0.0086069504419962,LPT,6,6,55,0.21818181818181817,small
2,LPT,ft06,77.0,0.0079419612884521,LPT,6,6,55,0.4,small
3,LPT,ft06,75.0,0.0072429180145263,LPT,6,6,55,0.36363636363636365,small
4,LPT,ft06,72.0,0.009246826171875,LPT,6,6,55,0.3090909090909091,small
0,LRPT,ft06,61.0,0.008775658077663812,LRPT,6,6,55,0.10909090909090909,small
0,LS,ft06,80.0,0.008699576059977178,LS,6,6,55,0.45454545454545453,small
0,MOR,ft06,59.0,0.009111949375697514,MOR,6,6,55,0.07272727272727272,small
2,MOR,ft06,63.0,0.0094988346099853,MOR,6,6,55,0.14545454545454545,small
3,MOR,ft06,68.0,0.0072810649871826,MOR,6,6,55,0.23636363636363636,small
0,SPT,ft06,88.0,0.009306430816650346,SPT,6,6,55,0.6,small
0,SRPT,ft06,70.0,0.008443385362625075,SRPT,6,6,55,0.2727272727272727,small
1,SRPT,ft06,83.0,0.0071640014648437,SRPT,6,6,55,0.509090909090909,small
0,saved_network/FJSP_J15M15/best_value0,ft06,64.0,0.08197577794392899,end_to_end_drl_for_fjsp,6,6,55,0.16363636363636364,small
