seed,model,instance,makespan,runtime
0,saved_network/FJSP_J15M15/best_value0,Behnke1.fjs,105.0,1.46708083152771
0,saved_network/FJSP_J15M15/best_value0,Behnke10.fjs,184.0,0.23551011085510254
0,saved_network/FJSP_J15M15/best_value0,Behnke11.fjs,288.0,1.0004239082336426
0,saved_network/FJSP_J15M15/best_value0,Behnke12.fjs,283.0,0.9883730411529541
0,saved_network/FJSP_J15M15/best_value0,Behnke13.fjs,292.0,1.0901029109954834
0,saved_network/FJSP_J15M15/best_value0,Behnke14.fjs,287.0,1.0132811069488525
0,saved_network/FJSP_J15M15/best_value0,Behnke15.fjs,273.0,0.9773252010345459
0,saved_network/FJSP_J15M15/best_value0,Behnke16.fjs,491.0,4.9104650020599365
0,saved_network/FJSP_J15M15/best_value0,Behnke17.fjs,499.0,4.9915430545806885
0,saved_network/FJSP_J15M15/best_value0,Behnke18.fjs,505.0,4.8497819900512695
0,saved_network/FJSP_J15M15/best_value0,Behnke19.fjs,494.0,4.775031089782715
0,saved_network/FJSP_J15M15/best_value0,Behnke2.fjs,126.0,0.10751819610595703
0,saved_network/FJSP_J15M15/best_value0,Behnke20.fjs,488.0,4.982072114944458
0,saved_network/FJSP_J15M15/best_value0,Behnke21.fjs,103.0,0.1288740634918213
0,saved_network/FJSP_J15M15/best_value0,Behnke22.fjs,107.0,0.12368202209472656
0,saved_network/FJSP_J15M15/best_value0,Behnke23.fjs,104.0,0.12862086296081543
0,saved_network/FJSP_J15M15/best_value0,Behnke24.fjs,108.0,0.12670278549194336
0,saved_network/FJSP_J15M15/best_value0,Behnke25.fjs,96.0,0.1239309310913086
0,saved_network/FJSP_J15M15/best_value0,Behnke26.fjs,148.0,0.28592991828918457
0,saved_network/FJSP_J15M15/best_value0,Behnke27.fjs,151.0,0.2842249870300293
0,saved_network/FJSP_J15M15/best_value0,Behnke28.fjs,133.0,0.2892630100250244
0,saved_network/FJSP_J15M15/best_value0,Behnke29.fjs,138.0,0.303635835647583
0,saved_network/FJSP_J15M15/best_value0,Behnke3.fjs,128.0,0.10819315910339355
0,saved_network/FJSP_J15M15/best_value0,Behnke30.fjs,139.0,0.28238511085510254
0,saved_network/FJSP_J15M15/best_value0,Behnke31.fjs,280.0,1.1694998741149902
0,saved_network/FJSP_J15M15/best_value0,Behnke32.fjs,268.0,1.2169792652130127
0,saved_network/FJSP_J15M15/best_value0,Behnke33.fjs,269.0,1.1887938976287842
0,saved_network/FJSP_J15M15/best_value0,Behnke34.fjs,266.0,1.1457700729370117
0,saved_network/FJSP_J15M15/best_value0,Behnke35.fjs,261.0,1.1152629852294922
0,saved_network/FJSP_J15M15/best_value0,Behnke36.fjs,461.0,4.885496139526367
0,saved_network/FJSP_J15M15/best_value0,Behnke37.fjs,472.0,4.9665162563323975
0,saved_network/FJSP_J15M15/best_value0,Behnke38.fjs,477.0,4.780035972595215
0,saved_network/FJSP_J15M15/best_value0,Behnke39.fjs,466.0,4.929006099700928
0,saved_network/FJSP_J15M15/best_value0,Behnke4.fjs,131.0,0.1098642349243164
0,saved_network/FJSP_J15M15/best_value0,Behnke40.fjs,483.0,4.714513063430786
0,saved_network/FJSP_J15M15/best_value0,Behnke41.fjs,97.0,0.1412961483001709
0,saved_network/FJSP_J15M15/best_value0,Behnke42.fjs,101.0,0.1405191421508789
0,saved_network/FJSP_J15M15/best_value0,Behnke43.fjs,98.0,0.1407928466796875
0,saved_network/FJSP_J15M15/best_value0,Behnke44.fjs,100.0,0.1379380226135254
0,saved_network/FJSP_J15M15/best_value0,Behnke45.fjs,98.0,0.13890981674194336
0,saved_network/FJSP_J15M15/best_value0,Behnke46.fjs,143.0,0.3130671977996826
0,saved_network/FJSP_J15M15/best_value0,Behnke47.fjs,146.0,0.3135550022125244
0,saved_network/FJSP_J15M15/best_value0,Behnke48.fjs,153.0,0.3157680034637451
0,saved_network/FJSP_J15M15/best_value0,Behnke49.fjs,147.0,0.30800676345825195
0,saved_network/FJSP_J15M15/best_value0,Behnke5.fjs,108.0,0.10671877861022949
0,saved_network/FJSP_J15M15/best_value0,Behnke50.fjs,165.0,0.31258487701416016
0,saved_network/FJSP_J15M15/best_value0,Behnke51.fjs,262.0,1.204881191253662
0,saved_network/FJSP_J15M15/best_value0,Behnke52.fjs,255.0,1.1950311660766602
0,saved_network/FJSP_J15M15/best_value0,Behnke53.fjs,258.0,1.2105369567871094
0,saved_network/FJSP_J15M15/best_value0,Behnke54.fjs,278.0,1.208801031112671
0,saved_network/FJSP_J15M15/best_value0,Behnke55.fjs,271.0,1.2197129726409912
0,saved_network/FJSP_J15M15/best_value0,Behnke56.fjs,478.0,5.120276927947998
0,saved_network/FJSP_J15M15/best_value0,Behnke57.fjs,454.0,4.9818079471588135
0,saved_network/FJSP_J15M15/best_value0,Behnke58.fjs,465.0,5.153353929519653
0,saved_network/FJSP_J15M15/best_value0,Behnke59.fjs,465.0,5.220261096954346
0,saved_network/FJSP_J15M15/best_value0,Behnke6.fjs,159.0,0.24895811080932617
0,saved_network/FJSP_J15M15/best_value0,Behnke60.fjs,480.0,5.269359111785889
0,saved_network/FJSP_J15M15/best_value0,Behnke7.fjs,163.0,0.24657416343688965
0,saved_network/FJSP_J15M15/best_value0,Behnke8.fjs,163.0,0.24389195442199707
0,saved_network/FJSP_J15M15/best_value0,Behnke9.fjs,168.0,0.2458209991455078
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk1.fjs,46.0,0.11217784881591797
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk10.fjs,254.0,0.6682558059692383
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk11.fjs,651.0,0.4641718864440918
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk12.fjs,558.0,0.5619280338287354
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk13.fjs,504.0,0.6703839302062988
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk14.fjs,776.0,0.8892481327056885
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk15.fjs,432.0,0.8645980358123779
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk2.fjs,39.0,0.11627531051635742
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk3.fjs,204.0,0.3637208938598633
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk4.fjs,73.0,0.20598697662353516
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk5.fjs,191.0,0.22825217247009277
0,saved_network/FJSP_J15M15/best_value0,BrandimarteMk6.fjs,81.0,0.34980201721191406
