seed,model,instance,makespan,runtime
0,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.3639709949493408
1,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.19389104843139648
2,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.19112396240234375
3,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.19191908836364746
4,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.19014596939086914
5,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.1916050910949707
6,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.19271492958068848
7,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.19348907470703125
8,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.19058895111083984
9,saved_network/FJSP_J15M15/best_value0,abz5.txt,1382.0,0.19503378868103027
0,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.20038390159606934
1,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.2003941535949707
2,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.19474220275878906
3,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.19696879386901855
4,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.19614720344543457
5,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.19554805755615234
6,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.1959371566772461
7,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.1950080394744873
8,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.19445395469665527
9,saved_network/FJSP_J15M15/best_value0,abz6.txt,1194.0,0.1961369514465332
0,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8406462669372559
1,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8551208972930908
2,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8265109062194824
3,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8361930847167969
4,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8243691921234131
5,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8346021175384521
6,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8392667770385742
7,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8397090435028076
8,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8416178226470947
9,saved_network/FJSP_J15M15/best_value0,abz7.txt,780.0,0.8350648880004883
0,saved_network/FJSP_J15M15/best_value0,abz8.txt,848.0,0.8561646938323975
1,saved_network/FJSP_J15M15/best_value0,abz8.txt,885.0,0.8435239791870117
2,saved_network/FJSP_J15M15/best_value0,abz8.txt,847.0,0.8497698307037354
3,saved_network/FJSP_J15M15/best_value0,abz8.txt,885.0,0.8455100059509277
4,saved_network/FJSP_J15M15/best_value0,abz8.txt,847.0,0.8492050170898438
5,saved_network/FJSP_J15M15/best_value0,abz8.txt,833.0,0.8418209552764893
6,saved_network/FJSP_J15M15/best_value0,abz8.txt,921.0,0.8417909145355225
7,saved_network/FJSP_J15M15/best_value0,abz8.txt,874.0,0.8449869155883789
8,saved_network/FJSP_J15M15/best_value0,abz8.txt,872.0,0.840731143951416
9,saved_network/FJSP_J15M15/best_value0,abz8.txt,872.0,0.8559479713439941
0,saved_network/FJSP_J15M15/best_value0,abz9.txt,907.0,0.8219501972198486
1,saved_network/FJSP_J15M15/best_value0,abz9.txt,913.0,0.8292500972747803
2,saved_network/FJSP_J15M15/best_value0,abz9.txt,907.0,0.8694930076599121
3,saved_network/FJSP_J15M15/best_value0,abz9.txt,913.0,0.8349287509918213
4,saved_network/FJSP_J15M15/best_value0,abz9.txt,913.0,0.8341412544250488
5,saved_network/FJSP_J15M15/best_value0,abz9.txt,907.0,0.8367836475372314
6,saved_network/FJSP_J15M15/best_value0,abz9.txt,913.0,0.8326511383056641
7,saved_network/FJSP_J15M15/best_value0,abz9.txt,913.0,0.8379120826721191
8,saved_network/FJSP_J15M15/best_value0,abz9.txt,913.0,0.8448197841644287
9,saved_network/FJSP_J15M15/best_value0,abz9.txt,913.0,0.8478131294250488
0,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.833611011505127
1,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.8406322002410889
2,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.8445460796356201
3,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.9380459785461426
4,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.8765020370483398
5,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.8260829448699951
6,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.8570761680603027
7,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.8413681983947754
8,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.8314018249511719
9,saved_network/FJSP_J15M15/best_value0,dmu01.txt,3391.0,0.8425390720367432
0,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8271870613098145
1,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8264472484588623
2,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8324301242828369
3,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8405308723449707
4,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8449008464813232
5,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8488461971282959
6,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8391451835632324
7,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8383150100708008
8,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8879249095916748
9,saved_network/FJSP_J15M15/best_value0,dmu02.txt,3561.0,0.8591160774230957
0,saved_network/FJSP_J15M15/best_value0,dmu03.txt,3427.0,0.909916877746582
1,saved_network/FJSP_J15M15/best_value0,dmu03.txt,3427.0,0.8532218933105469
2,saved_network/FJSP_J15M15/best_value0,dmu03.txt,3427.0,0.8985230922698975
3,saved_network/FJSP_J15M15/best_value0,dmu03.txt,3427.0,0.8492240905761719
4,saved_network/FJSP_J15M15/best_value0,dmu03.txt,3427.0,0.8433189392089844
5,saved_network/FJSP_J15M15/best_value0,dmu03.txt,3427.0,0.8518028259277344
6,saved_network/FJSP_J15M15/best_value0,dmu03.txt,3427.0,0.8488943576812744
7,saved_network/FJSP_J15M15/best_value0,dmu03.txt,3427.0,0.8480031490325928
