seed,model,instance,load_factor,makespan,runtime
0,DQN_ep1670,abz5.txt,1,1918,0.6835072040557861
1,DQN_ep1670,abz5.txt,1,1792,0.649554967880249
0,DQN_ep1670,abz6.txt,1,1453,0.6300818920135498
1,DQN_ep1670,abz6.txt,1,1435,0.6509191989898682
0,DQN_ep1670,abz7.txt,1,990,3.2890830039978027
1,DQN_ep1670,abz7.txt,1,933,3.9149599075317383
0,DQN_ep1670,abz8.txt,1,1121,3.7422518730163574
1,DQN_ep1670,abz8.txt,1,903,4.13106894493103
0,DQN_ep1670,abz9.txt,1,1070,3.915010929107666
1,DQN_ep1670,abz9.txt,1,1048,3.8228931427001953
0,DQN_ep1670,dmu01.txt,1,4054,3.7765347957611084
1,DQN_ep1670,dmu01.txt,1,3830,3.7268199920654297
0,DQN_ep1670,dmu02.txt,1,4283,3.5534608364105225
1,DQN_ep1670,dmu02.txt,1,3950,3.7909669876098633
0,DQN_ep1670,dmu03.txt,1,4395,3.831010103225708
1,DQN_ep1670,dmu03.txt,1,3965,3.4349477291107178
0,DQN_ep1670,dmu04.txt,1,4128,3.409250020980835
1,DQN_ep1670,dmu04.txt,1,3802,3.5302090644836426
0,DQN_ep1670,dmu05.txt,1,4612,3.2010669708251953
1,DQN_ep1670,dmu05.txt,1,4037,2.9948670864105225
0,DQN_ep1670,dmu06.txt,1,4843,4.039395093917847
1,DQN_ep1670,dmu06.txt,1,4542,4.159682035446167
0,DQN_ep1670,dmu07.txt,1,4619,4.2292399406433105
1,DQN_ep1670,dmu07.txt,1,4265,3.9967050552368164
0,DQN_ep1670,dmu08.txt,1,5241,3.954116106033325
1,DQN_ep1670,dmu08.txt,1,4775,4.158288240432739
0,DQN_ep1670,dmu09.txt,1,4858,3.8203201293945312
1,DQN_ep1670,dmu09.txt,1,4478,3.9485459327697754
0,DQN_ep1670,dmu10.txt,1,4465,4.166093111038208
1,DQN_ep1670,dmu10.txt,1,4138,4.110139846801758
0,DQN_ep1670,dmu11.txt,1,5341,6.200423955917358
1,DQN_ep1670,dmu11.txt,1,6234,6.656876087188721
0,DQN_ep1670,dmu12.txt,1,5240,6.191799879074097
1,DQN_ep1670,dmu12.txt,1,5903,5.742319107055664
0,DQN_ep1670,dmu13.txt,1,5569,5.827980995178223
