seed,model,instance,makespan,runtime
0,DQN_ep1670,dmu36.txt,6580,10.7741858959198
1,DQN_ep1670,dmu36.txt,6635,10.15501093864441
2,DQN_ep1670,dmu36.txt,6510,10.323353052139282
3,DQN_ep1670,dmu36.txt,6957,10.491702795028687
4,DQN_ep1670,dmu36.txt,6683,10.152643918991089
5,DQN_ep1670,dmu36.txt,6683,10.23270297050476
6,DQN_ep1670,dmu36.txt,6612,10.50369668006897
7,DQN_ep1670,dmu36.txt,6933,10.160493850708008
8,DQN_ep1670,dmu36.txt,6782,10.352239847183228
9,DQN_ep1670,dmu36.txt,6933,10.208465099334717
0,DQN_ep1670,dmu22.txt,5154,4.5702431201934814
1,DQN_ep1670,dmu22.txt,5154,4.586211204528809
2,DQN_ep1670,dmu22.txt,5154,4.670077800750732
3,DQN_ep1670,dmu22.txt,5154,4.680473804473877
4,DQN_ep1670,dmu22.txt,5154,4.649049997329712
5,DQN_ep1670,dmu22.txt,5154,4.6054511070251465
6,DQN_ep1670,dmu22.txt,5154,4.661257982254028
7,DQN_ep1670,dmu22.txt,5154,4.867959976196289
8,DQN_ep1670,dmu22.txt,5154,4.730932950973511
9,DQN_ep1670,dmu22.txt,5154,4.687211036682129
0,DQN_ep1670,dmu23.txt,5225,4.783902883529663
1,DQN_ep1670,dmu23.txt,5225,4.7081358432769775
2,DQN_ep1670,dmu23.txt,5167,4.913357973098755
3,DQN_ep1670,dmu23.txt,5225,4.709409952163696
4,DQN_ep1670,dmu23.txt,5225,4.845339298248291
5,DQN_ep1670,dmu23.txt,5225,4.622320175170898
6,DQN_ep1670,dmu23.txt,5167,4.779266834259033
7,DQN_ep1670,dmu23.txt,5205,4.801027059555054
8,DQN_ep1670,dmu23.txt,5225,4.606506824493408
9,DQN_ep1670,dmu23.txt,5205,4.79617977142334
0,DQN_ep1670,dmu37.txt,6775,9.847493171691895
1,DQN_ep1670,dmu37.txt,6636,9.599629163742065
2,DQN_ep1670,dmu37.txt,6636,9.646202087402344
3,DQN_ep1670,dmu37.txt,6775,9.942754030227661
4,DQN_ep1670,dmu37.txt,6775,10.154532194137573
5,DQN_ep1670,dmu37.txt,6671,9.878345966339111
6,DQN_ep1670,dmu37.txt,6847,10.251370906829834
7,DQN_ep1670,dmu37.txt,6775,9.985346794128418
8,DQN_ep1670,dmu37.txt,6688,10.084840774536133
9,DQN_ep1670,dmu37.txt,6847,10.246556043624878
0,DQN_ep1670,dmu21.txt,5044,5.090590953826904
1,DQN_ep1670,dmu21.txt,4926,4.717556953430176
2,DQN_ep1670,dmu21.txt,5044,4.8842878341674805
