seed,model,instance,load_factor,makespan,runtime
8,SavedNetwork/20_20_1_199.pth,abz5.txt,1,1423.0,4.545384168624878
9,SavedNetwork/20_20_1_199.pth,abz5.txt,1,1392.0,3.862222909927368
8,SavedNetwork/20_20_1_199.pth,abz6.txt,1,1096.0,3.6811728477478027
9,SavedNetwork/20_20_1_199.pth,abz6.txt,1,1071.0,3.88226580619812
8,SavedNetwork/20_20_1_199.pth,abz7.txt,1,858.0,21.346826791763306
9,SavedNetwork/20_20_1_199.pth,abz7.txt,1,986.0,16.340194940567017
8,SavedNetwork/20_20_1_199.pth,abz8.txt,1,885.0,20.729520797729492
9,SavedNetwork/20_20_1_199.pth,abz8.txt,1,1031.0,15.372782945632935
8,SavedNetwork/20_20_1_199.pth,abz9.txt,1,889.0,20.962378978729248
9,SavedNetwork/20_20_1_199.pth,abz9.txt,1,989.0,16.857433080673218
8,SavedNetwork/20_20_1_199.pth,dmu01.txt,1,3839.0,20.964346885681152
9,SavedNetwork/20_20_1_199.pth,dmu01.txt,1,3786.0,16.832337856292725
8,SavedNetwork/20_20_1_199.pth,dmu02.txt,1,3717.0,21.534651041030884
9,SavedNetwork/20_20_1_199.pth,dmu02.txt,1,4097.0,17.144148111343384
8,SavedNetwork/20_20_1_199.pth,dmu03.txt,1,3721.0,21.6940598487854
9,SavedNetwork/20_20_1_199.pth,dmu03.txt,1,4173.0,17.4890398979187
8,SavedNetwork/20_20_1_199.pth,dmu04.txt,1,3849.0,20.92639183998108
9,SavedNetwork/20_20_1_199.pth,dmu04.txt,1,3946.0,16.38448190689087
8,SavedNetwork/20_20_1_199.pth,dmu05.txt,1,3949.0,21.082011938095093
9,SavedNetwork/20_20_1_199.pth,dmu05.txt,1,4182.0,17.582523107528687
8,SavedNetwork/20_20_1_199.pth,dmu06.txt,1,4557.0,29.359121084213257
9,SavedNetwork/20_20_1_199.pth,dmu06.txt,1,4831.0,25.106472969055176
8,SavedNetwork/20_20_1_199.pth,dmu07.txt,1,4075.0,29.835819005966187
9,SavedNetwork/20_20_1_199.pth,dmu07.txt,1,4716.0,25.64680814743042
8,SavedNetwork/20_20_1_199.pth,dmu08.txt,1,4432.0,29.403226852416992
9,SavedNetwork/20_20_1_199.pth,dmu08.txt,1,5030.0,24.982265949249268
8,SavedNetwork/20_20_1_199.pth,dmu09.txt,1,4189.0,28.744176864624023
9,SavedNetwork/20_20_1_199.pth,dmu09.txt,1,4227.0,24.33841609954834
8,SavedNetwork/20_20_1_199.pth,dmu10.txt,1,4036.0,29.734416961669922
