makespan,tensor(1757.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,83.0,109.0,120.0,150.0,372.0,452.0,550.0,560.0,593.0,652.0,732.0,872.0,975.0,994.0,1558.0,1589.0,1644.0,1671.0,1691.0
job 1,0.0,244.0,300.0,326.0,385.0,494.0,577.0,644.0,801.0,898.0,969.0,1074.0,1218.0,1316.0,1488.0,1574.0,1641.0,1686.0,1725.0,1729.0
job 2,0.0,33.0,187.0,258.0,309.0,597.0,685.0,871.0,963.0,1059.0,1102.0,1191.0,1282.0,1304.0,1351.0,1415.0,1483.0,1552.0,1574.0,1720.0
job 3,0.0,94.0,114.0,233.0,320.0,456.0,523.0,572.0,656.0,755.0,948.0,1034.0,1146.0,1205.0,1256.0,1333.0,1399.0,1460.0,1625.0,1679.0
job 4,336.0,384.0,472.0,516.0,577.0,585.0,667.0,732.0,894.0,1059.0,1127.0,1190.0,1224.0,1381.0,1433.0,1536.0,1563.0,1589.0,1621.0,1725.0
job 5,0.0,118.0,187.0,244.0,309.0,336.0,716.0,790.0,994.0,1038.0,1081.0,1149.0,1309.0,1392.0,1451.0,1462.0,1567.0,1644.0,1684.0,1722.0
job 6,0.0,188.0,205.0,284.0,380.0,458.0,558.0,574.0,586.0,596.0,624.0,708.0,804.0,863.0,947.0,991.0,1036.0,1351.0,1439.0,1608.0
job 7,0.0,62.0,240.0,297.0,389.0,470.0,544.0,550.0,607.0,694.0,755.0,774.0,824.0,878.0,977.0,1031.0,1054.0,1150.0,1391.0,1490.0
job 8,517.0,574.0,579.0,656.0,694.0,824.0,915.0,940.0,1017.0,1026.0,1068.0,1072.0,1102.0,1150.0,1173.0,1245.0,1463.0,1513.0,1524.0,1684.0
job 9,156.0,206.0,389.0,458.0,560.0,585.0,617.0,704.0,731.0,804.0,843.0,941.0,982.0,1059.0,1111.0,1296.0,1297.0,1432.0,1513.0,1608.0
job 10,0.0,76.0,120.0,203.0,233.0,259.0,320.0,321.0,349.0,808.0,898.0,973.0,1111.0,1140.0,1149.0,1216.0,1319.0,1415.0,1513.0,1608.0
job 11,94.0,162.0,206.0,289.0,308.0,317.0,362.0,373.0,607.0,704.0,1038.0,1129.0,1214.0,1238.0,1316.0,1341.0,1357.0,1440.0,1545.0,1625.0
job 12,62.0,158.0,167.0,178.0,203.0,210.0,271.0,276.0,320.0,393.0,470.0,617.0,1059.0,1183.0,1304.0,1378.0,1433.0,1492.0,1570.0,1617.0
job 13,76.0,162.0,259.0,320.0,380.0,388.0,483.0,563.0,572.0,644.0,731.0,914.0,970.0,982.0,1090.0,1152.0,1264.0,1311.0,1378.0,1605.0
job 14,0.0,50.0,205.0,384.0,385.0,388.0,696.0,804.0,966.0,1013.0,1140.0,1183.0,1216.0,1235.0,1300.0,1352.0,1483.0,1536.0,1548.0,1608.0
job 15,50.0,376.0,472.0,708.0,765.0,808.0,871.0,930.0,966.0,1027.0,1096.0,1209.0,1238.0,1310.0,1357.0,1440.0,1536.0,1589.0,1651.0,1689.0
job 16,0.0,30.0,118.0,188.0,212.0,377.0,467.0,558.0,597.0,709.0,765.0,768.0,863.0,947.0,1017.0,1036.0,1152.0,1237.0,1386.0,1463.0
job 17,0.0,52.0,459.0,517.0,559.0,610.0,715.0,801.0,940.0,947.0,1041.0,1042.0,1072.0,1090.0,1233.0,1314.0,1381.0,1451.0,1524.0,1646.0
job 18,0.0,167.0,240.0,289.0,376.0,456.0,467.0,494.0,516.0,534.0,541.0,634.0,716.0,819.0,1013.0,1096.0,1151.0,1218.0,1407.0,1475.0
job 19,0.0,54.0,271.0,523.0,550.0,639.0,759.0,782.0,842.0,902.0,947.0,963.0,1087.0,1314.0,1319.0,1391.0,1460.0,1513.0,1548.0,1567.0
