makespan,1915.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,46.0,161.0,259.0,324.0,408.0,550.0,614.0,767.0,919.0,1014.0,1133.0,1304.0,1397.0,1496.0,1518.0,1523.0,1553.0,1618.0,1712.0,1768.0
job 1,117.0,169.0,221.0,406.0,510.0,662.0,747.0,877.0,885.0,912.0,923.0,1002.0,1051.0,1066.0,1159.0,1253.0,1267.0,1298.0,1358.0,1538.0
job 2,52.0,123.0,259.0,337.0,382.0,474.0,500.0,559.0,798.0,936.0,1015.0,1065.0,1097.0,1255.0,1420.0,1496.0,1562.0,1602.0,1659.0,1755.0
job 3,0.0,159.0,352.0,456.0,535.0,712.0,869.0,879.0,1010.0,1173.0,1229.0,1316.0,1332.0,1356.0,1372.0,1518.0,1593.0,1689.0,1816.0,1904.0
job 4,0.0,22.0,75.0,123.0,356.0,406.0,541.0,557.0,640.0,668.0,688.0,712.0,785.0,853.0,959.0,1044.0,1215.0,1303.0,1398.0,1482.0
job 5,0.0,174.0,247.0,340.0,352.0,576.0,613.0,660.0,747.0,782.0,829.0,962.0,1051.0,1154.0,1230.0,1332.0,1398.0,1421.0,1472.0,1527.0
job 6,0.0,143.0,156.0,348.0,413.0,466.0,623.0,757.0,875.0,945.0,1028.0,1120.0,1142.0,1218.0,1263.0,1393.0,1467.0,1538.0,1712.0,1722.0
job 7,0.0,60.0,188.0,329.0,416.0,509.0,548.0,557.0,669.0,773.0,785.0,858.0,903.0,987.0,1024.0,1092.0,1178.0,1303.0,1426.0,1476.0
job 8,168.0,255.0,324.0,370.0,432.0,491.0,586.0,623.0,697.0,715.0,960.0,982.0,1047.0,1138.0,1178.0,1225.0,1312.0,1387.0,1473.0,1602.0
job 9,0.0,12.0,73.0,277.0,329.0,480.0,576.0,711.0,804.0,957.0,1015.0,1024.0,1085.0,1117.0,1222.0,1356.0,1451.0,1539.0,1573.0,1587.0
job 10,30.0,58.0,96.0,103.0,247.0,308.0,388.0,480.0,551.0,644.0,697.0,870.0,1002.0,1066.0,1163.0,1238.0,1298.0,1358.0,1476.0,1573.0
job 11,133.0,204.0,308.0,348.0,356.0,406.0,457.0,557.0,655.0,709.0,794.0,795.0,804.0,923.0,947.0,1032.0,1094.0,1147.0,1218.0,1226.0
job 12,12.0,100.0,279.0,406.0,443.0,597.0,688.0,716.0,843.0,931.0,944.0,1029.0,1163.0,1316.0,1457.0,1539.0,1562.0,1604.0,1659.0,1738.0
job 13,100.0,161.0,195.0,359.0,430.0,445.0,500.0,541.0,613.0,804.0,879.0,1024.0,1142.0,1178.0,1251.0,1332.0,1398.0,1406.0,1483.0,1643.0
job 14,0.0,255.0,388.0,427.0,585.0,669.0,757.0,895.0,984.0,1045.0,1138.0,1159.0,1291.0,1332.0,1449.0,1473.0,1482.0,1540.0,1586.0,1618.0
job 15,32.0,75.0,221.0,319.0,337.0,452.0,509.0,599.0,715.0,782.0,905.0,1037.0,1079.0,1143.0,1193.0,1230.0,1397.0,1457.0,1679.0,1712.0
job 16,169.0,221.0,265.0,281.0,442.0,520.0,597.0,687.0,766.0,794.0,811.0,931.0,957.0,1010.0,1068.0,1178.0,1275.0,1298.0,1421.0,1467.0
job 17,0.0,20.0,78.0,94.0,215.0,425.0,466.0,497.0,517.0,686.0,805.0,858.0,906.0,936.0,1003.0,1116.0,1191.0,1204.0,1257.0,1285.0
job 18,123.0,188.0,427.0,491.0,579.0,610.0,643.0,668.0,719.0,804.0,878.0,1003.0,1014.0,1037.0,1085.0,1143.0,1229.0,1291.0,1323.0,1329.0
job 19,0.0,30.0,93.0,195.0,277.0,319.0,368.0,418.0,443.0,623.0,716.0,798.0,885.0,944.0,1061.0,1079.0,1154.0,1233.0,1238.0,1253.0
