makespan,tensor(1642.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,79.0,263.0,346.0,405.0,420.0,663.0,686.0,694.0,706.0,751.0,834.0,894.0,925.0,971.0,1028.0,1108.0,1151.0,1238.0,1347.0,1425.0
job 1,0.0,264.0,353.0,378.0,413.0,420.0,487.0,495.0,540.0,623.0,746.0,761.0,1101.0,1187.0,1269.0,1357.0,1408.0,1452.0,1530.0,1592.0
job 2,201.0,229.0,324.0,412.0,424.0,543.0,618.0,638.0,751.0,852.0,858.0,990.0,1053.0,1162.0,1210.0,1271.0,1402.0,1425.0,1464.0,1539.0
job 3,0.0,15.0,108.0,152.0,503.0,571.0,615.0,680.0,771.0,842.0,944.0,970.0,1153.0,1179.0,1242.0,1326.0,1425.0,1476.0,1489.0,1554.0
job 4,0.0,25.0,41.0,138.0,186.0,222.0,266.0,405.0,478.0,505.0,580.0,601.0,628.0,664.0,767.0,826.0,1094.0,1396.0,1410.0,1603.0
job 5,4.0,123.0,175.0,197.0,257.0,353.0,426.0,487.0,495.0,526.0,610.0,628.0,858.0,950.0,1195.0,1271.0,1360.0,1425.0,1506.0,1599.0
job 6,8.0,152.0,350.0,444.0,462.0,503.0,556.0,622.0,697.0,779.0,834.0,950.0,1108.0,1208.0,1210.0,1226.0,1306.0,1402.0,1437.0,1494.0
job 7,84.0,134.0,221.0,378.0,441.0,457.0,468.0,550.0,600.0,638.0,686.0,804.0,884.0,959.0,992.0,1064.0,1104.0,1187.0,1254.0,1549.0
job 8,0.0,68.0,134.0,140.0,169.0,182.0,188.0,272.0,400.0,569.0,657.0,739.0,894.0,947.0,1040.0,1065.0,1074.0,1138.0,1233.0,1492.0
job 9,0.0,11.0,94.0,148.0,191.0,283.0,311.0,367.0,447.0,509.0,610.0,748.0,806.0,882.0,913.0,1043.0,1132.0,1224.0,1320.0,1384.0
job 10,0.0,308.0,505.0,550.0,598.0,664.0,771.0,852.0,913.0,950.0,976.0,992.0,1118.0,1212.0,1296.0,1322.0,1396.0,1437.0,1530.0,1582.0
job 11,94.0,108.0,140.0,191.0,207.0,252.0,308.0,311.0,385.0,413.0,462.0,519.0,633.0,714.0,895.0,1132.0,1153.0,1268.0,1314.0,1408.0
job 12,0.0,5.0,426.0,509.0,547.0,587.0,599.0,764.0,771.0,822.0,881.0,937.0,964.0,986.0,995.0,1005.0,1094.0,1267.0,1315.0,1414.0
job 13,175.0,201.0,283.0,350.0,412.0,526.0,570.0,849.0,941.0,964.0,1053.0,1065.0,1153.0,1172.0,1238.0,1334.0,1414.0,1512.0,1568.0,1617.0
job 14,0.0,8.0,69.0,117.0,182.0,600.0,730.0,814.0,900.0,951.0,959.0,1029.0,1048.0,1088.0,1186.0,1276.0,1412.0,1492.0,1599.0,1638.0
job 15,0.0,84.0,221.0,444.0,487.0,567.0,693.0,708.0,748.0,757.0,797.0,973.0,1040.0,1064.0,1144.0,1153.0,1172.0,1212.0,1315.0,1360.0
job 16,25.0,70.0,148.0,194.0,250.0,314.0,448.0,557.0,1037.0,1114.0,1152.0,1242.0,1320.0,1344.0,1345.0,1361.0,1391.0,1418.0,1506.0,1550.0
job 17,0.0,69.0,79.0,112.0,163.0,282.0,355.0,448.0,542.0,587.0,598.0,686.0,771.0,848.0,1028.0,1108.0,1210.0,1254.0,1267.0,1418.0
job 18,0.0,11.0,68.0,188.0,264.0,310.0,385.0,708.0,787.0,884.0,944.0,1023.0,1088.0,1179.0,1314.0,1366.0,1376.0,1449.0,1545.0,1573.0
job 19,0.0,50.0,138.0,210.0,462.0,541.0,620.0,680.0,730.0,739.0,779.0,806.0,895.0,955.0,966.0,1351.0,1413.0,1476.0,1525.0,1603.0
