makespan,2936.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,0.0,175.0,260.0,546.0,643.0,683.0,1048.0,1295.0,1541.0,1728.0,1754.0,1862.0,1893.0,1947.0,2065.0,2091.0,2188.0,2275.0,2594.0,2677.0
job 1,168.0,248.0,421.0,501.0,507.0,524.0,623.0,694.0,957.0,1037.0,1068.0,1289.0,1403.0,1463.0,1467.0,1492.0,1515.0,1787.0,1873.0,2043.0
job 2,0.0,28.0,387.0,563.0,651.0,666.0,705.0,938.0,1027.0,1110.0,1477.0,1539.0,1561.0,1637.0,1683.0,1755.0,1802.0,2044.0,2138.0,2211.0
job 3,0.0,56.0,101.0,298.0,507.0,513.0,540.0,570.0,623.0,684.0,782.0,819.0,1060.0,1142.0,1317.0,1537.0,1601.0,1637.0,1664.0,1720.0
job 4,66.0,116.0,416.0,536.0,812.0,881.0,939.0,1080.0,1248.0,1313.0,1697.0,2092.0,2235.0,2261.0,2342.0,2397.0,2571.0,2655.0,2724.0,2727.0
job 5,36.0,275.0,321.0,419.0,711.0,932.0,1071.0,1157.0,1201.0,1277.0,1417.0,1477.0,2037.0,2074.0,2328.0,2397.0,2599.0,2712.0,2794.0,2810.0
job 6,0.0,25.0,79.0,330.0,333.0,514.0,549.0,661.0,694.0,933.0,1182.0,1254.0,1343.0,1641.0,1732.0,1800.0,2147.0,2243.0,2266.0,2355.0
job 7,0.0,86.0,152.0,165.0,167.0,227.0,521.0,668.0,774.0,789.0,823.0,875.0,884.0,1031.0,1080.0,1159.0,1527.0,1605.0,1611.0,1630.0
job 8,27.0,111.0,295.0,373.0,385.0,422.0,516.0,550.0,666.0,708.0,759.0,774.0,789.0,1043.0,1295.0,1429.0,1873.0,1884.0,1915.0,1954.0
job 9,70.0,163.0,549.0,789.0,880.0,1048.0,1195.0,1272.0,1287.0,1376.0,1637.0,1779.0,1855.0,1934.0,2016.0,2092.0,2493.0,2553.0,2619.0,2771.0
job 10,3.0,321.0,470.0,549.0,787.0,1142.0,1224.0,1227.0,1288.0,1347.0,1683.0,1775.0,1800.0,1908.0,2051.0,2098.0,2186.0,2448.0,2534.0,2594.0
job 11,20.0,71.0,255.0,345.0,417.0,511.0,536.0,571.0,734.0,818.0,950.0,1099.0,1232.0,1267.0,1290.0,1723.0,1775.0,1996.0,2101.0,2397.0
job 12,55.0,146.0,258.0,339.0,417.0,530.0,682.0,862.0,1121.0,1290.0,1604.0,1702.0,1732.0,1915.0,2011.0,2519.0,2604.0,2651.0,2727.0,2809.0
job 13,0.0,86.0,116.0,168.0,199.0,258.0,575.0,618.0,675.0,853.0,1009.0,1043.0,1227.0,1319.0,1417.0,1702.0,2076.0,2404.0,2770.0,2798.0
job 14,18.0,65.0,133.0,359.0,472.0,643.0,881.0,915.0,933.0,941.0,1017.0,1132.0,1257.0,1328.0,1467.0,1539.0,1630.0,1705.0,1718.0,2003.0
job 15,28.0,171.0,202.0,412.0,548.0,664.0,941.0,1034.0,1060.0,1113.0,1120.0,1218.0,1377.0,1417.0,1492.0,1555.0,1601.0,1699.0,1847.0,1852.0
job 16,111.0,206.0,333.0,421.0,472.0,628.0,860.0,978.0,1265.0,1277.0,1294.0,1605.0,1641.0,2002.0,2043.0,2243.0,2328.0,2413.0,2493.0,2677.0
job 17,24.0,202.0,458.0,619.0,889.0,1037.0,1152.0,1157.0,1256.0,1360.0,1389.0,1611.0,1718.0,1750.0,1896.0,1909.0,1954.0,2112.0,2155.0,2167.0
job 18,221.0,275.0,363.0,513.0,516.0,521.0,564.0,618.0,789.0,900.0,962.0,1043.0,1201.0,1245.0,1350.0,1403.0,1673.0,1770.0,1918.0,2350.0
job 19,0.0,267.0,564.0,664.0,668.0,806.0,1031.0,1098.0,1130.0,1354.0,1446.0,1459.0,1477.0,1498.0,1555.0,1634.0,1852.0,1947.0,2150.0,2162.0
job 20,20.0,169.0,315.0,363.0,622.0,682.0,730.0,881.0,1120.0,1292.0,1893.0,2012.0,2266.0,2350.0,2448.0,2510.0,2599.0,2800.0,2803.0,2841.0
job 21,7.0,419.0,562.0,809.0,884.0,1068.0,1374.0,1557.0,1637.0,1713.0,1881.0,2074.0,2112.0,2413.0,2619.0,2711.0,2771.0,2800.0,2814.0,2857.0
job 22,248.0,315.0,572.0,770.0,818.0,854.0,936.0,958.0,1080.0,1136.0,1152.0,1228.0,1248.0,1465.0,1683.0,1831.0,1993.0,2188.0,2444.0,2635.0
job 23,167.0,221.0,247.0,529.0,728.0,806.0,854.0,970.0,1050.0,1113.0,1446.0,1769.0,1915.0,2012.0,2156.0,2188.0,2190.0,2246.0,2338.0,2342.0
job 24,0.0,20.0,36.0,307.0,385.0,668.0,797.0,836.0,862.0,907.0,1224.0,1289.0,1319.0,1463.0,1516.0,1524.0,1770.0,1921.0,2197.0,2429.0
job 25,0.0,32.0,127.0,398.0,481.0,651.0,1086.0,1219.0,1267.0,1286.0,1516.0,1802.0,1881.0,2162.0,2338.0,2429.0,2434.0,2519.0,2571.0,2727.0
job 26,0.0,128.0,191.0,269.0,482.0,530.0,697.0,881.0,1131.0,1219.0,1276.0,1311.0,1346.0,1377.0,1777.0,1851.0,2265.0,2355.0,2432.0,2600.0
job 27,0.0,36.0,60.0,269.0,367.0,613.0,759.0,884.0,938.0,958.0,1007.0,1034.0,1144.0,1290.0,1713.0,1754.0,1878.0,2041.0,2445.0,2534.0
job 28,0.0,401.0,482.0,498.0,712.0,770.0,876.0,915.0,1110.0,1389.0,1467.0,1491.0,1505.0,1561.0,1800.0,2067.0,2147.0,2251.0,2265.0,2348.0
job 29,0.0,59.0,176.0,367.0,421.0,442.0,722.0,930.0,1278.0,1605.0,1750.0,1910.0,2002.0,2037.0,2183.0,2211.0,2434.0,2459.0,2655.0,2742.0
