makespan,tensor(2172.)
optimal,False

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,57.0,99.0,233.0,328.0,382.0,404.0,524.0,590.0,667.0,792.0,863.0,1013.0,1232.0,1435.0,1763.0,1834.0,1924.0,1926.0,1937.0,2097.0
job 1,0.0,74.0,122.0,240.0,304.0,381.0,455.0,535.0,617.0,646.0,896.0,944.0,1191.0,1290.0,1566.0,1693.0,1763.0,1897.0,2014.0,2065.0
job 2,0.0,95.0,170.0,218.0,299.0,391.0,488.0,530.0,789.0,801.0,1099.0,1185.0,1337.0,1623.0,1711.0,1842.0,1897.0,1905.0,2024.0,2115.0
job 3,0.0,59.0,180.0,1074.0,1255.0,1321.0,1390.0,1401.0,1479.0,1566.0,1586.0,1632.0,1668.0,1711.0,1724.0,1765.0,1860.0,1905.0,1926.0,2076.0
job 4,0.0,205.0,242.0,260.0,404.0,459.0,536.0,596.0,1134.0,1140.0,1232.0,1547.0,1697.0,1782.0,1832.0,1897.0,1943.0,1966.0,2025.0,2059.0
job 5,394.0,737.0,764.0,789.0,806.0,953.0,1029.0,1103.0,1169.0,1174.0,1253.0,1604.0,1626.0,1858.0,1996.0,2002.0,2010.0,2052.0,2065.0,2125.0
job 6,0.0,115.0,248.0,274.0,327.0,432.0,493.0,519.0,682.0,950.0,1013.0,1217.0,1256.0,1517.0,1752.0,1916.0,1927.0,1998.0,2055.0,2163.0
job 7,0.0,116.0,211.0,254.0,343.0,374.0,482.0,659.0,737.0,843.0,1249.0,1351.0,1410.0,1440.0,1622.0,1769.0,1834.0,1864.0,2028.0,2116.0
job 8,0.0,74.0,154.0,246.0,280.0,480.0,578.0,701.0,771.0,778.0,843.0,921.0,969.0,1412.0,1486.0,1695.0,1763.0,1860.0,1864.0,1929.0
job 9,0.0,100.0,219.0,371.0,434.0,533.0,684.0,688.0,863.0,1002.0,1051.0,1126.0,1219.0,1293.0,1367.0,1626.0,1927.0,2024.0,2091.0,2115.0
job 10,0.0,129.0,249.0,340.0,522.0,610.0,612.0,696.0,801.0,885.0,1528.0,1607.0,1664.0,1768.0,1835.0,1912.0,1963.0,1964.0,2027.0,2124.0
job 11,0.0,99.0,160.0,192.0,248.0,404.0,460.0,561.0,696.0,753.0,857.0,939.0,1013.0,1172.0,1287.0,1431.0,1615.0,1695.0,1708.0,1944.0
job 12,42.0,104.0,154.0,240.0,552.0,617.0,705.0,773.0,878.0,924.0,1013.0,1029.0,1212.0,1282.0,1520.0,1639.0,1918.0,1996.0,2020.0,2091.0
job 13,41.0,161.0,177.0,390.0,467.0,610.0,888.0,953.0,1033.0,1049.0,1096.0,1322.0,1357.0,1449.0,1495.0,1579.0,1635.0,1763.0,1769.0,1861.0
job 14,192.0,310.0,361.0,493.0,741.0,753.0,782.0,861.0,898.0,1029.0,1074.0,1102.0,1191.0,1328.0,1368.0,1738.0,1752.0,1924.0,1966.0,2115.0
job 15,83.0,243.0,299.0,328.0,357.0,748.0,851.0,885.0,964.0,1041.0,1094.0,1115.0,1253.0,1343.0,1379.0,1519.0,1632.0,1971.0,2004.0,2035.0
job 16,17.0,59.0,188.0,207.0,362.0,460.0,627.0,666.0,753.0,876.0,1007.0,1185.0,1286.0,1344.0,1449.0,1547.0,1625.0,1715.0,1726.0,1838.0
job 17,11.0,98.0,149.0,375.0,390.0,507.0,753.0,806.0,895.0,1012.0,1038.0,1275.0,1287.0,1351.0,1410.0,1489.0,1682.0,1954.0,2025.0,2105.0
job 18,0.0,77.0,122.0,211.0,304.0,437.0,665.0,780.0,839.0,932.0,1094.0,1148.0,1170.0,1204.0,1368.0,1435.0,1527.0,1612.0,1688.0,2004.0
job 19,61.0,295.0,364.0,382.0,474.0,480.0,577.0,605.0,833.0,1021.0,1066.0,1067.0,1148.0,1229.0,1635.0,1766.0,1929.0,2020.0,2028.0,2074.0
job 20,0.0,1.0,97.0,122.0,331.0,381.0,452.0,640.0,743.0,767.0,1115.0,1212.0,1283.0,1423.0,1474.0,1627.0,1705.0,1763.0,2006.0,2105.0
job 21,0.0,65.0,177.0,488.0,606.0,700.0,931.0,1080.0,1214.0,1282.0,1290.0,1293.0,1367.0,1409.0,1472.0,1528.0,1553.0,1598.0,1625.0,1879.0
job 22,0.0,129.0,161.0,273.0,286.0,627.0,753.0,804.0,883.0,944.0,1160.0,1221.0,1326.0,1390.0,1662.0,1777.0,1875.0,1915.0,1966.0,2038.0
job 23,0.0,17.0,100.0,223.0,285.0,375.0,472.0,638.0,688.0,997.0,1080.0,1132.0,1207.0,1304.0,1348.0,1426.0,1517.0,1529.0,1985.0,2081.0
job 24,0.0,41.0,237.0,286.0,343.0,404.0,632.0,667.0,764.0,804.0,896.0,924.0,1028.0,1126.0,1529.0,1664.0,1735.0,1782.0,1964.0,2059.0
job 25,185.0,267.0,316.0,574.0,627.0,684.0,782.0,896.0,985.0,1007.0,1051.0,1208.0,1365.0,1431.0,1586.0,1731.0,1743.0,1839.0,1859.0,2032.0
job 26,0.0,96.0,130.0,216.0,239.0,459.0,528.0,602.0,767.0,824.0,847.0,1313.0,1385.0,1401.0,1495.0,1570.0,1615.0,1714.0,1761.0,1832.0
job 27,218.0,474.0,524.0,567.0,587.0,727.0,790.0,885.0,898.0,911.0,939.0,1169.0,1379.0,1486.0,1588.0,1875.0,1966.0,2016.0,2091.0,2152.0
job 28,0.0,54.0,107.0,280.0,382.0,425.0,484.0,753.0,1033.0,1142.0,1172.0,1270.0,1344.0,1412.0,1470.0,1517.0,1570.0,1623.0,1783.0,1819.0
job 29,72.0,170.0,247.0,285.0,590.0,638.0,727.0,745.0,911.0,1082.0,1142.0,1219.0,1408.0,1508.0,1706.0,1738.0,1832.0,1835.0,1919.0,1984.0
