makespan,2674.0
optimal,unknown

,task 0 start time,task 1 start time,task 2 start time,task 3 start time,task 4 start time,task 5 start time,task 6 start time,task 7 start time,task 8 start time,task 9 start time,task 10 start time,task 11 start time,task 12 start time,task 13 start time,task 14 start time,task 15 start time,task 16 start time,task 17 start time,task 18 start time,task 19 start time
job 0,67.0,161.0,365.0,427.0,489.0,643.0,689.0,752.0,901.0,1062.0,1280.0,1367.0,1446.0,1472.0,1675.0,1695.0,1848.0,1985.0,2263.0,2357.0
job 1,0.0,162.0,435.0,558.0,746.0,834.0,857.0,935.0,1038.0,1130.0,1214.0,1327.0,1419.0,1838.0,1862.0,1891.0,1926.0,2009.0,2146.0,2271.0
job 2,57.0,448.0,468.0,559.0,790.0,874.0,1014.0,1163.0,1354.0,1517.0,1624.0,1738.0,1796.0,1834.0,1893.0,1969.0,2049.0,2106.0,2209.0,2246.0
job 3,23.0,209.0,468.0,537.0,615.0,639.0,779.0,999.0,1037.0,1056.0,1376.0,1433.0,1484.0,1566.0,1751.0,1848.0,2000.0,2125.0,2207.0,2230.0
job 4,0.0,81.0,264.0,357.0,373.0,456.0,593.0,660.0,782.0,868.0,878.0,990.0,1166.0,1224.0,1414.0,1555.0,1614.0,1639.0,1649.0,1994.0
job 5,0.0,60.0,63.0,265.0,418.0,516.0,605.0,711.0,779.0,874.0,996.0,1038.0,1062.0,1433.0,1521.0,1559.0,1908.0,1977.0,2033.0,2088.0
job 6,105.0,244.0,389.0,521.0,645.0,724.0,854.0,956.0,1121.0,1271.0,1356.0,1359.0,1420.0,1512.0,1559.0,1695.0,1757.0,1918.0,2020.0,2077.0
job 7,99.0,430.0,461.0,533.0,622.0,813.0,877.0,1038.0,1047.0,1377.0,1384.0,1471.0,1614.0,1820.0,1915.0,1926.0,1995.0,2069.0,2164.0,2361.0
job 8,21.0,188.0,225.0,231.0,271.0,618.0,817.0,898.0,939.0,996.0,1207.0,1332.0,1384.0,1486.0,1599.0,1743.0,1891.0,1976.0,2220.0,2300.0
job 9,69.0,273.0,363.0,435.0,495.0,660.0,700.0,805.0,914.0,1037.0,1038.0,1073.0,1134.0,1400.0,1486.0,1509.0,1766.0,1785.0,1841.0,2039.0
job 10,0.0,141.0,452.0,649.0,995.0,1091.0,1288.0,1338.0,1497.0,1587.0,1651.0,1704.0,1864.0,1949.0,2166.0,2209.0,2223.0,2315.0,2394.0,2459.0
job 11,0.0,21.0,120.0,231.0,287.0,368.0,402.0,412.0,489.0,593.0,741.0,834.0,979.0,1127.0,1214.0,1384.0,1439.0,1607.0,1703.0,1710.0
job 12,51.0,235.0,331.0,447.0,523.0,689.0,899.0,979.0,1027.0,1214.0,1264.0,1384.0,1417.0,1432.0,1587.0,1739.0,1804.0,2128.0,2186.0,2324.0
